id,loan_amnt,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,default,purpose,title,addr_state
16,14000.0,36 months,6.03,426.1,A,Software Architect,6 years,MORTGAGE,127650.0,Not Verified,0,debt_consolidation,Debt consolidation,GA
17,10000.0,36 months,13.99,341.73,G,Buyer,9 years,RENT,72000.0,Source Verified,0,debt_consolidation,Debt consolidation,GA
18,25000.0,36 months,25.49,1000.49,A,Lead Electrician ,1 year,MORTGAGE,130000.0,Source Verified,0,home_improvement,Home improvement,LA
19,15000.0,36 months,8.39,472.75,G,painter,3 years,MORTGAGE,58000.0,Not Verified,1,debt_consolidation,Debt consolidation,GA
20,1300.0,36 months,8.18,40.85,A,buyer-inventory operations ,8 years,OWN,47000.0,Not Verified,0,debt_consolidation,Debt consolidation,MI
21,5300.0,36 months,10.99,173.5,A,,,RENT,48000.0,Verified,0,debt_consolidation,Debt consolidation,OR
22,5500.0,36 months,9.25,175.54,B,Cablevision,3 years,RENT,21600.0,Verified,0,debt_consolidation,Kill All Credit Cards,CT
23,35000.0,36 months,30.49,1495.22,C,Captain,4 years,OWN,126500.0,Source Verified,1,debt_consolidation,Debt consolidation,OK
24,6000.0,36 months,7.97,187.94,D,SUPERVISOR OF COMPUTER OPERATIONS,10+ years,MORTGAGE,58599.84,Source Verified,0,car,Car financing,LA
25,13675.0,36 months,8.67,432.77,E,Truck Driver,3 years,MORTGAGE,53000.0,Not Verified,1,credit_card,Credit card refinancing,OH
26,15000.0,36 months,12.99,505.34,G,Locomotive engineer ,3 years,MORTGAGE,80000.0,Source Verified,0,debt_consolidation,Debt consolidation,MT
27,20000.0,60 months,25.57,593.73,D,Quality Assurance Manager,1 year,MORTGAGE,90000.0,Verified,1,small_business,Business,WA
28,6000.0,36 months,6.97,185.19,E,Computer Programmer,10+ years,RENT,180000.0,Not Verified,0,debt_consolidation,Debt consolidation,CT
29,16000.0,60 months,14.49,376.37,F,,10+ years,RENT,149000.0,Source Verified,0,debt_consolidation,Debt consolidation,VA
30,20000.0,36 months,16.99,712.96,C,Sales Order Mgt Specialist,1 year,MORTGAGE,65000.0,Source Verified,1,credit_card,Credit card refinancing,NV
31,16000.0,36 months,7.89,500.58,B,Branch Manager,3 years,MORTGAGE,90000.0,Source Verified,0,debt_consolidation,Debt consolidation,GA
32,23700.0,60 months,28.69,747.82,E,OWNER/ MANAGER,2 years,MORTGAGE,70000.0,Source Verified,1,credit_card,Credit card refinancing,MO
33,14000.0,36 months,7.89,438.0,F,Financial Manager,6 years,MORTGAGE,107000.0,Source Verified,0,debt_consolidation,Debt consolidation,WI
34,3425.0,36 months,20.2,127.64,D,sales,8 years,RENT,80000.0,Not Verified,0,major_purchase,Major purchase,MI
35,1200.0,36 months,15.61,41.96,D,supervisor,3 years,MORTGAGE,28500.0,Source Verified,0,home_improvement,Home improvement,OH
36,5000.0,36 months,19.05,183.41,D,General Motors,10+ years,MORTGAGE,73500.0,Verified,0,credit_card,credit card refinance loan,MI
37,7175.0,36 months,20.5,268.49,E,Service Professional,4 years,RENT,30000.0,Not Verified,0,debt_consolidation,Debt consolidation,MA
38,3350.0,36 months,15.1,116.3,E,,,RENT,12429.0,Verified,0,debt_consolidation,Status Improvement,KS
39,2000.0,36 months,13.67,68.04,G,Owner,10+ years,RENT,88000.0,Verified,0,debt_consolidation,Debt consolidation,NM
40,16000.0,60 months,24.99,469.53,E,Technical Coordinator,10+ years,MORTGAGE,68000.0,Verified,0,home_improvement,Home improvement,IN
41,15000.0,36 months,16.99,534.72,D,owner operator ,10+ years,RENT,70000.0,Source Verified,0,small_business,Business,SC
42,9600.0,36 months,7.99,300.79,B,Automation Engineer,< 1 year,RENT,95000.0,Not Verified,0,credit_card,Credit card refinancing,SC
43,35000.0,60 months,14.49,823.31,D,,,MORTGAGE,49200.0,Verified,1,debt_consolidation,Debt consolidation,CO
44,8700.0,36 months,24.99,345.87,C,Client Service Representative,< 1 year,RENT,29000.0,Verified,0,debt_consolidation,Debt consolidation,MA
45,7200.0,36 months,13.67,244.93,A,radar operator,10+ years,RENT,44000.0,Not Verified,0,home_improvement,Home improvement,CO
46,2200.0,36 months,16.02,77.37,D,,,MORTGAGE,19200.0,Verified,1,debt_consolidation,Debt consolidation,KY
47,4200.0,36 months,7.56,130.77,G,Developmental Specialist,2 years,RENT,45000.0,Not Verified,0,debt_consolidation,Debt consolidation,NV
48,35000.0,36 months,9.49,1120.99,C,HR Business Partner,10+ years,MORTGAGE,98000.0,Verified,0,credit_card,Credit card refinancing,OR
49,10000.0,60 months,13.44,229.79,F,Receiving supervisor,10+ years,RENT,85000.0,Verified,0,credit_card,Credit card refinancing,WI
50,5000.0,36 months,7.46,155.44,E,FORKLIFT OPERATER,10+ years,OWN,70000.0,Not Verified,0,other,Other,UT
51,27850.0,36 months,8.18,875.04,F,Network Admin,10+ years,MORTGAGE,89000.0,Not Verified,0,debt_consolidation,Debt consolidation,MT
52,19200.0,60 months,9.99,407.85,C,Account Executive,8 years,MORTGAGE,121000.0,Source Verified,0,debt_consolidation,Debt consolidation,WA
53,7000.0,36 months,11.49,230.8,F,General Manager,5 years,MORTGAGE,52000.0,Verified,0,debt_consolidation,Debt consolidation,NC
54,35000.0,36 months,14.64,1207.13,A,Property Control Analyst,10+ years,OWN,90000.0,Source Verified,0,debt_consolidation,Debt consolidation,GA
55,9000.0,36 months,15.31,313.36,D,Defense support services,10+ years,MORTGAGE,60000.0,Not Verified,0,credit_card,Credit card refinancing,AZ
56,10000.0,36 months,13.67,340.18,A,Forklift,5 years,OWN,48500.0,Not Verified,1,credit_card,Credit card refinancing,KY
57,35000.0,60 months,21.99,966.47,A,Clinical Manager,8 years,RENT,144000.0,Verified,0,debt_consolidation,Debt consolidation,AZ
58,8000.0,36 months,10.49,259.99,E,Senior Program Specialist,10+ years,OWN,75747.0,Source Verified,0,debt_consolidation,,AR
59,10000.0,36 months,18.99,366.51,D,,,MORTGAGE,48000.0,Verified,0,other,Other,AZ
60,14250.0,36 months,8.19,447.8,D,Systems Engineer,< 1 year,MORTGAGE,72000.0,Not Verified,0,credit_card,Credit card refinancing,OK
61,35000.0,36 months,15.31,1218.61,D,Correction Officer ,3 years,MORTGAGE,85000.0,Verified,1,debt_consolidation,,TN
62,6000.0,36 months,9.16,191.25,F,COSTCO,3 years,RENT,32582.0,Not Verified,0,credit_card,Credit card refinancing,CO
63,18000.0,60 months,14.64,424.83,F,Operations Manager,10+ years,MORTGAGE,95000.0,Source Verified,0,debt_consolidation,Debt consolidation,IN
64,9600.0,36 months,12.69,322.04,E,procurement/accounts payable,5 years,MORTGAGE,27000.0,Source Verified,0,debt_consolidation,Debt consolidation,MN
65,8000.0,36 months,14.65,275.96,D,Instructor,3 years,MORTGAGE,112000.0,Not Verified,0,debt_consolidation,Debt consolidation,WA
66,30950.0,36 months,15.61,1082.17,B,Group Leader,10+ years,MORTGAGE,61900.0,Source Verified,0,debt_consolidation,Debt consolidation,WI
67,12000.0,36 months,10.75,391.45,G,Computed Radiology Technologist,4 years,RENT,40000.0,Not Verified,1,debt_consolidation,Debt consolidation,NC
68,19000.0,60 months,19.05,493.4,A,Wells Fargo,1 year,RENT,60000.0,Verified,0,debt_consolidation,Debts,OR
69,20000.0,36 months,14.99,693.21,F,Controller,8 years,MORTGAGE,50000.0,Source Verified,0,home_improvement,Home improvement,NV
70,3500.0,36 months,11.67,115.7,F,Manager,9 years,RENT,34399.0,Not Verified,1,other,Other,WA
71,1000.0,36 months,9.32,31.95,D,Consultant,10+ years,MORTGAGE,66996.0,Verified,0,debt_consolidation,nolan22,MA
72,10475.0,36 months,9.99,337.95,B,Assmgr,10+ years,RENT,45000.0,Source Verified,0,credit_card,Credit card refinancing,GA
73,8000.0,36 months,7.49,248.82,A,Teller,10+ years,MORTGAGE,73000.0,Not Verified,0,credit_card,Credit card refinancing,KS
74,20000.0,36 months,13.67,680.36,E,,,MORTGAGE,74400.0,Verified,1,debt_consolidation,Debt consolidation,GA
75,8000.0,36 months,12.69,268.36,E,AlliedBarton Security Services,2 years,MORTGAGE,39000.0,Source Verified,0,debt_consolidation,Debt consolidation,MI
76,4000.0,36 months,5.32,120.46,A,Community Director,< 1 year,RENT,59000.0,Source Verified,0,debt_consolidation,Debt consolidation,LA
77,6000.0,36 months,9.93,193.41,E,,,RENT,33576.0,Verified,0,medical,Medical expenses,OR
78,10925.0,36 months,6.62,335.44,E,Full Stack Developer,5 years,MORTGAGE,47000.0,Verified,0,debt_consolidation,CredCardConsol,MO
79,25000.0,60 months,15.31,598.83,A,Construction Manager,4 years,MORTGAGE,109000.0,Not Verified,0,small_business,Business,DE
80,12000.0,36 months,13.11,404.97,D,Harrrahs Casino,5 years,RENT,35000.0,Not Verified,0,debt_consolidation,debt consolidation,LA
81,20000.0,36 months,19.99,743.17,E,Truck driver,< 1 year,MORTGAGE,52000.0,Verified,0,home_improvement,Home improvement,WA
82,12000.0,60 months,14.99,285.42,E,Business Office Manager,7 years,MORTGAGE,52880.0,Verified,1,other,Other,MN
83,8000.0,36 months,9.71,257.05,F,Terumo Cardiovascular Systems,6 years,RENT,70000.0,Not Verified,0,debt_consolidation,Refinance Lending Club Loan,MI
84,5000.0,36 months,9.17,159.4,C,Client Services Specialist,5 years,RENT,40000.0,Not Verified,0,credit_card,Credit card refinancing,GA
85,12000.0,36 months,12.69,402.54,C,Machine Operator,5 years,RENT,30000.0,Not Verified,0,debt_consolidation,Debt consolidation,TN
86,16000.0,36 months,7.62,498.59,D,,4 years,MORTGAGE,75000.0,Not Verified,0,credit_card,credit card refinance loan,GA
87,18000.0,36 months,13.44,610.32,G,Case Management nurse ,3 years,MORTGAGE,80000.0,Verified,0,debt_consolidation,Debt consolidation,IN
88,25000.0,36 months,6.68,768.28,E,Clinical Secretary ,10+ years,MORTGAGE,91476.0,Verified,0,debt_consolidation,Debt consolidation,AZ
89,24000.0,36 months,6.97,740.73,G,Insulator Mech.,10+ years,RENT,75000.0,Not Verified,1,debt_consolidation,Debt consolidation,NC
90,12000.0,36 months,8.39,378.2,G,Estimator,4 years,MORTGAGE,115750.0,Not Verified,0,credit_card,Credit card refinancing,VA
91,28000.0,60 months,15.99,680.76,F,Nurse Practitioner ,3 years,MORTGAGE,125000.0,Source Verified,0,credit_card,Credit card refinancing,VA
92,20700.0,36 months,12.85,695.98,F,Executive Director,10+ years,OWN,80000.0,Verified,1,debt_consolidation,Debt consolidation,NM
93,20000.0,36 months,12.99,673.79,B,Sales,< 1 year,RENT,65000.0,Source Verified,0,credit_card,Credit card refinancing,MA
94,40000.0,36 months,9.93,1289.38,A,,,MORTGAGE,0.0,Not Verified,0,credit_card,Credit card refinancing,CO
95,10000.0,36 months,9.67,321.13,B,Director of Social and Emotional Support,2 years,OWN,73000.0,Verified,0,credit_card,Credit Card Payoff,MA
96,6000.0,36 months,10.99,196.41,E,Development Engineer,10+ years,MORTGAGE,85000.0,Source Verified,0,debt_consolidation,Debt consolidation,OH
97,1800.0,36 months,12.35,60.09,F,Technician ,10+ years,RENT,32000.0,Not Verified,0,debt_consolidation,consolidate,WI
98,1000.0,36 months,15.61,34.97,B,,7 years,OWN,58000.0,Not Verified,0,moving,Moving and relocation,TN
99,30000.0,36 months,9.67,963.38,F,Technician,2 years,MORTGAGE,125000.0,Verified,0,debt_consolidation,Pay off credit card debt,GA
100,10000.0,60 months,12.69,225.95,E,Senior Director,5 years,RENT,42000.0,Verified,1,debt_consolidation,Debt consolidation,MI
101,30000.0,36 months,16.99,1069.44,D,Underwriting ,10+ years,MORTGAGE,80000.0,Source Verified,1,debt_consolidation,Debt consolidation,CO
102,10500.0,36 months,15.61,367.14,G,Project Manager,< 1 year,RENT,41000.0,Verified,0,debt_consolidation,Debt consolidation,AZ
103,24000.0,36 months,11.67,793.37,D,Senior Project Manager,1 year,MORTGAGE,144000.0,Source Verified,0,other,Other,DC
104,32650.0,60 months,27.49,1006.57,E,Police officer,5 years,MORTGAGE,71000.0,Verified,1,debt_consolidation,Debt consolidation,GA
105,10000.0,36 months,13.11,337.47,B,Macerich,6 years,RENT,35000.0,Verified,0,renewable_energy,renewable energy ,VA
106,12000.0,36 months,13.49,407.17,D,Supervisor,2 years,MORTGAGE,46000.0,Verified,0,home_improvement,Home improvement,AZ
107,5000.0,36 months,10.75,163.11,G,Teacher,10+ years,MORTGAGE,55000.0,Verified,1,other,Other,GA
108,15775.0,60 months,13.98,366.9,A,Art Technology Specialist,7 years,RENT,55000.0,Source Verified,1,debt_consolidation,Debt consolidation,VA
109,12000.0,36 months,6.24,366.37,A,Systems Administrator,6 years,MORTGAGE,75000.0,Not Verified,0,credit_card,Credit card refinancing,UT
110,20000.0,60 months,15.8,484.24,D,Concessions Specialist,5 years,RENT,90000.0,Verified,0,credit_card,Consolidation and Reduce Debt,VA
111,8825.0,36 months,15.88,309.74,E,Publix Supermarkets,5 years,RENT,27000.0,Not Verified,0,debt_consolidation,Debt Consolidation,AL
112,3000.0,36 months,16.02,105.51,D,Baker,< 1 year,RENT,48000.0,Verified,1,vacation,Vacation,HI
113,2000.0,36 months,13.99,68.35,D,Server,< 1 year,RENT,30000.0,Verified,0,moving,Moving and relocation,AZ
114,28000.0,36 months,13.59,951.41,A,President,< 1 year,RENT,60000.0,Not Verified,0,debt_consolidation,Debt consolidation,OR
115,8000.0,36 months,6.92,246.73,F,owner,10+ years,MORTGAGE,99672.0,Source Verified,0,debt_consolidation,Debt consolidation,NC
116,12000.0,36 months,7.62,373.94,F,maintenance,10+ years,RENT,53000.0,Not Verified,0,credit_card,Credit card refinancing,OH
117,5000.0,36 months,11.49,164.86,B,Radiologic Technologist ,4 years,MORTGAGE,62000.0,Source Verified,0,home_improvement,Home improvement,GA
118,20000.0,60 months,14.64,472.03,D,otr truck drivet,< 1 year,OWN,66394.0,Verified,0,debt_consolidation,Debt consolidation,MI
119,5075.0,36 months,16.99,180.92,F,Educator,10+ years,RENT,19676.0,Verified,0,credit_card,Credit card refinancing,GA
120,40000.0,60 months,13.59,922.25,A,Team Lead,6 years,RENT,96812.43,Verified,1,other,Other,NC
121,27575.0,60 months,16.29,674.83,B,Co - Owner,5 years,MORTGAGE,60000.0,Not Verified,0,debt_consolidation,Debt consolidation,MD
122,10000.0,36 months,12.49,334.49,C,River Program manager,< 1 year,RENT,45000.0,Source Verified,1,debt_consolidation,Debt consolidation,NV
123,30000.0,36 months,15.61,1048.95,B,"Analyst, Manager",8 years,MORTGAGE,135000.0,Verified,0,debt_consolidation,Debt consolidation,GA
124,40000.0,36 months,10.49,1299.91,G,SDS3,10+ years,MORTGAGE,95000.0,Verified,0,debt_consolidation,Debt consolidation,OH
125,8400.0,36 months,5.32,252.97,B,Clerical,4 years,MORTGAGE,82000.0,Not Verified,0,debt_consolidation,Debt consolidation,NC
126,22800.0,36 months,9.99,735.59,D,Owner,7 years,RENT,160000.0,Source Verified,0,debt_consolidation,Debt consolidation,CO
127,8000.0,36 months,7.29,248.08,B,Technologist,5 years,MORTGAGE,70000.0,Source Verified,0,home_improvement,Home improvement loan,AZ
128,3500.0,36 months,11.67,115.7,A,kitchen supervisor,10+ years,MORTGAGE,29500.0,Verified,0,home_improvement,Home improvement,MO
129,5000.0,36 months,8.46,157.75,E,Course Instructor,< 1 year,MORTGAGE,57000.0,Verified,0,debt_consolidation,Debt consolidation,WA
130,10000.0,36 months,6.97,308.64,A,Deputy Treasurer,6 years,OWN,45000.0,Not Verified,0,debt_consolidation,Debt consolidation,NV
131,11000.0,36 months,14.99,381.27,C,office manager,10+ years,MORTGAGE,48000.0,Verified,0,debt_consolidation,Debt consolidation,NM
132,12800.0,36 months,6.99,395.17,A,,,MORTGAGE,65000.0,Not Verified,0,credit_card,Credit card refinancing,AL
133,4000.0,36 months,9.17,127.52,C,Area Manager,8 years,MORTGAGE,87500.0,Verified,0,other,Other,GA
134,12000.0,36 months,9.17,382.55,E,Analyst,10+ years,MORTGAGE,76000.0,Not Verified,0,credit_card,Credit card refinancing,VA
135,35000.0,36 months,17.27,1252.56,E,General Counsel,2 years,MORTGAGE,120000.0,Source Verified,1,debt_consolidation,Debt consolidation,GA
136,5000.0,36 months,6.99,154.37,A,Fleet manager,10+ years,MORTGAGE,63000.0,Source Verified,0,debt_consolidation,Debt consolidation,SC
137,14925.0,36 months,13.49,506.42,G,Supervisor,10+ years,MORTGAGE,55000.0,Not Verified,1,credit_card,Credit card refinancing,GA
138,9850.0,36 months,12.59,329.95,F,HR Customer Service Analyst ,10+ years,RENT,65000.0,Source Verified,1,debt_consolidation,Debt consolidation,GA
139,24000.0,60 months,12.74,542.89,E,VP of Asset Management,8 years,MORTGAGE,219000.0,Verified,0,debt_consolidation,Debt consolidation,MD
140,20000.0,60 months,16.29,489.45,C,Electrical Designer,10+ years,MORTGAGE,70000.0,Source Verified,0,debt_consolidation,Debt consolidation,CO
141,7000.0,36 months,7.89,219.0,B,operator,10+ years,OWN,80000.0,Not Verified,0,home_improvement,Home improvement,KS
142,6450.0,36 months,18.49,234.78,A,,,OWN,19000.0,Not Verified,1,debt_consolidation,Debt consolidation,KY
143,5500.0,36 months,13.33,186.2,C,,,MORTGAGE,60000.0,Verified,0,small_business,Business,SD
144,2500.0,36 months,13.99,85.44,A,Engr tech 2,9 years,MORTGAGE,95000.0,Not Verified,0,debt_consolidation,Debt consolidation,KY
145,7000.0,36 months,20.0,260.15,A,Nurse,5 years,OWN,70000.0,Source Verified,0,debt_consolidation,Debt consolidation,GA
146,9800.0,36 months,13.99,334.9,C,Nursing Assistant,4 years,RENT,40000.0,Source Verified,0,credit_card,Credit card refinancing,WA
147,5000.0,36 months,5.32,150.58,B,,10+ years,MORTGAGE,51500.0,Not Verified,0,debt_consolidation,Debt consolidation,OH
148,12000.0,36 months,13.67,408.22,D,,10+ years,MORTGAGE,71000.0,Not Verified,0,vacation,Vacation,HI
149,5400.0,36 months,7.96,169.12,G,AES,10+ years,MORTGAGE,38556.0,Not Verified,0,debt_consolidation,Debt consolidation,NC
150,18000.0,60 months,12.39,403.96,C,,9 years,MORTGAGE,90000.0,Source Verified,0,debt_consolidation,Debt consolidation,VA
151,17500.0,60 months,21.49,478.28,A,Tri City Fire district,4 years,RENT,63000.0,Source Verified,0,debt_consolidation,lower bills,AZ
152,30000.0,36 months,7.89,938.57,D,Senior Director of Quality Assurance and,3 years,MORTGAGE,200000.0,Verified,0,credit_card,Credit card refinancing,MA
153,6000.0,36 months,14.33,206.03,F,Morries,< 1 year,RENT,40000.0,Verified,0,debt_consolidation,Debt Consolidation,MN
154,20000.0,36 months,14.33,686.77,E,,4 years,MORTGAGE,90000.0,Source Verified,0,small_business,Business Partner Buy Out,VA
155,10000.0,60 months,13.99,232.64,B,Logistics Support,8 years,RENT,36000.0,Source Verified,0,debt_consolidation,Debt consolidation,WI
156,8000.0,36 months,8.18,251.36,F,Analyst,3 years,RENT,66500.0,Not Verified,0,credit_card,Credit card refinancing,MI
157,21000.0,60 months,12.74,475.03,D,Financial Specialist,10+ years,OWN,91500.0,Source Verified,0,debt_consolidation,Debt consolidation,OK
158,15000.0,60 months,14.49,352.85,D,Senior Underwriter,10+ years,MORTGAGE,64000.0,Not Verified,0,debt_consolidation,Debt consolidation,WA
159,13000.0,60 months,21.85,357.94,F,Executive Chef,10+ years,MORTGAGE,77000.0,Verified,1,debt_consolidation,Debt consolidation,VA
160,5000.0,36 months,11.53,164.96,A,Ink Technician,10+ years,MORTGAGE,75000.0,Not Verified,0,home_improvement,Home improvement,IN
161,18650.0,60 months,19.97,493.8,C,E5,7 years,RENT,52000.0,Source Verified,0,debt_consolidation,MY FINANCES,NC
162,32375.0,36 months,17.57,1163.47,B,Senior Research Associate,6 years,RENT,79000.0,Verified,0,debt_consolidation,Debt consolidation,MA
163,12000.0,36 months,5.32,361.38,D,CSR,5 years,MORTGAGE,140000.0,Not Verified,0,debt_consolidation,Debt consolidation,WA
164,11550.0,36 months,11.99,383.58,B,Statistician,10+ years,MORTGAGE,88000.0,Source Verified,0,home_improvement,Home improvement,NC
165,18000.0,60 months,7.49,360.6,B,EHR Applications Manager,10+ years,MORTGAGE,65400.0,Source Verified,0,debt_consolidation,Debt consolidation,VT
166,25000.0,60 months,15.05,595.41,D,Quality Systems Manager,10+ years,MORTGAGE,120000.0,Not Verified,0,debt_consolidation,Debt consolidation,NC
167,35000.0,36 months,12.74,1174.91,E,District Manager,7 years,MORTGAGE,186000.0,Source Verified,0,debt_consolidation,Debt consolidation,NV
168,8000.0,36 months,6.49,245.16,B,Controller,2 years,RENT,60000.0,Not Verified,0,credit_card,Credit card refinancing,VA
169,9000.0,36 months,18.99,329.86,D,Front Desk Agent,1 year,RENT,25000.0,Source Verified,1,debt_consolidation,Debt consolidation,WA
170,23325.0,60 months,21.0,631.02,B,State of Tennessee,1 year,RENT,128124.0,Verified,0,other,2013 Reboot,KY
171,14800.0,60 months,19.99,392.03,D,Administrative Specialist,< 1 year,MORTGAGE,37000.0,Not Verified,1,debt_consolidation,Debt consolidation,AL
172,14000.0,60 months,11.99,311.36,E,Driver/Admin,< 1 year,MORTGAGE,70000.0,Not Verified,0,debt_consolidation,Debt consolidation,OH
173,12400.0,36 months,9.17,395.3,A,Mechanic,10+ years,MORTGAGE,70000.0,Source Verified,0,debt_consolidation,Debt consolidation,WA
174,9000.0,36 months,10.99,294.61,E,Electrician,7 years,MORTGAGE,100000.0,Not Verified,0,debt_consolidation,Debt consolidation,GA
175,18000.0,36 months,19.03,660.09,D,BESS,1 year,MORTGAGE,87000.0,Not Verified,0,debt_consolidation,Debt consolidation,ME
176,11200.0,36 months,14.09,383.28,A,Weston and Sampson,2 years,OWN,48000.0,Not Verified,1,debt_consolidation,Debt consolidation,MA
177,10000.0,36 months,7.99,313.32,A,Financial Assistant,1 year,MORTGAGE,69000.0,Source Verified,0,credit_card,Credit card refinancing,CO
178,22000.0,36 months,8.19,691.33,G,Structures Supv,10+ years,MORTGAGE,82000.0,Source Verified,0,other,Credit card refinancing,AZ
179,22000.0,36 months,12.39,734.82,A,IT Director,9 years,MORTGAGE,105000.0,Source Verified,0,debt_consolidation,Debt consolidation,LA
180,25000.0,36 months,6.49,766.12,C,RFMA,4 years,OWN,128948.0,Source Verified,0,debt_consolidation,Debt consolidation,MD
181,30000.0,36 months,21.85,1143.39,D,Provision Specialist,10+ years,MORTGAGE,63000.0,Source Verified,1,other,Other,HI
182,23100.0,60 months,25.49,684.67,A,,,MORTGAGE,55000.0,Verified,0,debt_consolidation,Debt consolidation,GA
183,6000.0,36 months,13.11,202.49,C,Primerica,4 years,MORTGAGE,27195.0,Verified,0,debt_consolidation,Debt consolidation,GA
184,4575.0,36 months,16.29,161.5,A,ADEC,6 years,RENT,22000.0,Verified,1,debt_consolidation,Debts ,IN
185,3000.0,36 months,13.99,102.52,B,Auditor,9 years,MORTGAGE,120000.0,Not Verified,0,home_improvement,Home improvement,IN
186,7500.0,36 months,9.17,239.1,A,,,MORTGAGE,40000.0,Source Verified,0,debt_consolidation,Debt consolidation,WI
187,3000.0,36 months,13.18,101.35,G,Engineer - Technical Artist,3 years,RENT,140000.0,Source Verified,0,other,Other,WA
188,22500.0,36 months,12.99,758.01,C,"BD Manager, Pacific NW Division",10+ years,MORTGAGE,114452.0,Verified,0,debt_consolidation,Debt consolidation,WA
189,17925.0,60 months,12.39,402.28,B,SUPERVISOR,10+ years,MORTGAGE,39104.0,Not Verified,0,credit_card,Credit card refinancing,NC
190,15200.0,36 months,11.53,501.46,D,Sr. Director of Ticket Sales,10+ years,OWN,110000.0,Verified,0,debt_consolidation,Debt consolidation,MA
191,5000.0,36 months,6.24,152.66,F,Technical Project Lead,5 years,MORTGAGE,89000.0,Source Verified,0,debt_consolidation,Debt consolidation,IN
192,35000.0,60 months,21.97,966.07,D,Director Product & Account Management,2 years,MORTGAGE,120000.0,Source Verified,0,credit_card,Credit card refinancing,GA
193,8000.0,36 months,24.99,318.04,C,driver,10+ years,RENT,60000.0,Not Verified,1,debt_consolidation,Debt consolidation,WI
194,6000.0,36 months,11.99,199.26,F,,,MORTGAGE,48000.0,Source Verified,1,vacation,Vacation,AR
195,12000.0,36 months,13.67,408.22,C,GM,4 years,RENT,68000.0,Verified,0,debt_consolidation,Debt consolidation,ND
196,8500.0,36 months,9.99,274.24,C,Striper,9 years,RENT,32000.0,Source Verified,0,debt_consolidation,Debt consolidation,OR
197,10000.0,36 months,11.47,329.62,D,Mover,1 year,OWN,30000.0,Source Verified,1,credit_card,Credit card refinancing,AL
198,6500.0,36 months,14.11,222.49,E,Geezeo.com,2 years,MORTGAGE,73000.0,Source Verified,1,home_improvement,Reinforce historic home's 1913 addition,VA
199,20000.0,36 months,6.68,614.62,D,Division Administrator,10+ years,MORTGAGE,122000.0,Source Verified,0,home_improvement,Home improvement,TN
200,5400.0,36 months,14.3,185.35,A,assistant vice president,7 years,MORTGAGE,59000.0,Source Verified,0,credit_card,small card consolidation,UT
201,6425.0,36 months,17.86,231.83,D,mechanic,10+ years,MORTGAGE,100000.0,Not Verified,0,debt_consolidation,Debt consolidation,WA
202,6600.0,36 months,12.69,221.4,F,,,MORTGAGE,22000.0,Verified,0,debt_consolidation,Debt consolidation,MI
203,27000.0,36 months,15.61,944.05,B,Professor,3 years,MORTGAGE,60000.0,Not Verified,0,debt_consolidation,Debt consolidation,MI
